s_no,hospital_name,district_name,hosp_type,tier,hosp_level,level_source,dump_hosp_level,latitude,longitude,tpl_total,tpl_source,tpl_rows_in_dump,dump_hospid,coord_status,coord_note
1,AL AFIA HOSPITAL MANDIKHERA,Mewat,DCH,Tertiary,L2,spec_type,L2,27.900228,76.993807,43.56,estimated,0,419,ok,
2,DISTRICT CIVIL HOSPITAL AMBALA CITY,Ambala,DCH,Tertiary,L2,spec_type,L2,30.378993,76.779752,37.80,real,1,6,ok,
3,DISTRICT CIVIL HOSPITAL BHIWANI,Bhiwani,DCH,Tertiary,L2,spec_type,L2,28.799179,76.133512,35.81,estimated,0,937,ok,
4,DISTRICT CIVIL HOSPITAL CHARKHI DADRI,Charkhi Dadri,DCH,Tertiary,L2,spec_type,,28.592459,76.251397,42.29,estimated,0,,ok,
5,DISTRICT CIVIL HOSPITAL FARIDABAD,Faridabad,DCH,Tertiary,L2,spec_type,L2,28.392321,77.298436,44.13,real,1,688,ok,
6,DISTRICT CIVIL HOSPITAL FATEHABAD,Fatehabad,DCH,Tertiary,L2,spec_type,L2,29.517012,75.449318,27.38,real,1,778,ok,
7,DISTRICT CIVIL HOSPITAL GURUGRAM,Gurugram,DCH,Tertiary,L2,spec_type,,28.461990,77.033847,24.96,estimated,0,,ok,
8,DISTRICT CIVIL HOSPITAL HISAR,Hissar,DCH,Tertiary,L2,spec_type,L2,28.457349,76.997412,52.53,real,1,110,unverified,"DCH Hisar's GPS is ~137km off (matches DCH Gurugram's location in the source data) — confirmed wrong in both our source data and the partner's live feed. Location shown is approximate; true site is Civil Hospital, Sirsa Road, Hisar. Pending an authoritative fix."
9,DISTRICT CIVIL HOSPITAL YANUNANAGAR,Jagadhari,DCH,Tertiary,L2,spec_type,L2,30.172094,77.291331,28.93,real,1,182,ok,
10,DISTRICT CIVIL HOSPITAL JHAJJAR,Jhajjar,DCH,Tertiary,L2,spec_type,,28.608370,76.642332,45.08,estimated,0,,ok,
11,DISTRICT CIVIL HOSPITAL JIND,Jind,DCH,Tertiary,L2,spec_type,,29.312032,76.330120,45.18,estimated,0,,ok,
12,DISTRICT CIVIL HOSPITAL KAITHAL,Kaithal,DCH,Tertiary,L2,spec_type,L2,29.849475,76.661984,54.50,real,1,718,ok,
