recid,hospid,hosp_level,statecode,state,districtcode,district,overall_prep_score
1344,755,L2,13,Haryana,009,Jind,36.05
1138,440,L2,13,Haryana,016,Panchkula,24.88
458,548,L3,13,Haryana,020,Sirsa,17.73
464,551,L3,13,Haryana,020,Sirsa,17.48
632,417,L3,13,Haryana,014,Nuh,25.93
1181,880,L2,13,Haryana,001,Ambala,70.68
771,16,L3,13,Haryana,001,Ambala,15.6
315,176,L3,13,Haryana,022,Yamuna Nagar,7.28
981,948,L3,13,Haryana,002,Bhiwani,9.95
1355,246,L3,13,Haryana,009,Jind,13.63
641,835,L2,13,Haryana,020,Sirsa,36.85
1301,880,L2,13,Haryana,001,Ambala,55.8
886,106,L3,13,Haryana,007,Hisar,16.53
548,772,L2,13,Haryana,022,Yamuna Nagar,18.95
823,203,L3,13,Haryana,008,Jhajjar,0
1113,635,L3,13,Haryana,019,Rohtak,17.93
878,53,L2,13,Haryana,002,Bhiwani,32.33
552,565,L3,13,Haryana,020,Sirsa,17.03
779,870,L2,13,Haryana,006,Gurugram,29.6
991,201,L3,13,Haryana,008,Jhajjar,9.3
1180,880,L2,13,Haryana,001,Ambala,70.68
310,148,L2,13,Haryana,007,Hisar,28.4
682,476,L3,13,Haryana,017,Panipat,8.73
1054,138,L3,13,Haryana,007,Hisar,18.65
493,557,L3,13,Haryana,020,Sirsa,11.68
827,733,L2,13,13,010,010,51.68
299,360,L3,13,Haryana,012,Kurukshetra,13.13
1008,504,L2,13,Haryana,017,Panipat,0
1004,119,L3,13,Haryana,007,Hisar,12.68
782,529,L3,13,Haryana,017,Panipat,37
642,815,L2,13,Haryana,020,Sirsa,44.55
1026,935,L3,13,Haryana,002,Bhiwani,13.98
538,273,L3,13,Haryana,010,Kaithal,17.8
453,688,L2,13,Haryana,004,Faridabad,44.13
1408,880,L2,13,Haryana,001,Ambala,48.2
1273,1222,L3,13,Haryana,015,Palwal,1.4
1193,880,L2,13,Haryana,001,Ambala,50.65
638,871,L2,13,Haryana,006,Gurugram,41.13
945,959,L3,13,Haryana,002,Bhiwani,5.2
1139,94,L3,13,Haryana,006,Gurugram,14.85
1302,1301,L1,32,West Bengal,194,Purba mednipur,48.05
1074,672,L2,13,Haryana,019,Rohtak,0
398,38,L3,13,Haryana,001,Ambala,36.4
460,563,L3,13,Haryana,020,Sirsa,14.63
374,711,L1,13,Haryana,004,Faridabad,57.28
803,47,L3,13,Haryana,002,Bhiwani,7.38
1412,1384,L2,31,Uttar Pradesh,207,Ambedkar Nagar,14.45
1312,1294,L3,29,Tamil Nadu,036,Karur,6.28
1014,126,L3,13,Haryana,007,Hisar,16.68
481,754,L3,13,Haryana,012,Kurukshetra,11.55
972,109,L3,13,Haryana,007,Hisar,22.13
500,475,L3,13,Haryana,017,Panipat,1.8
387,191,L3,13,Haryana,022,Yamuna Nagar,8.33
919,962,L1,13,Haryana,002,Bhiwani,36.23
1368,880,L2,13,Haryana,001,Ambala,46.08
316,483,L2,13,Haryana,017,Panipat,33.43
832,121,L3,13,Haryana,007,Hisar,3.55
301,366,L3,13,Haryana,012,Kurukshetra,6.03
1385,976,L3,13,Haryana,009,Jind,7.03
859,51,L3,13,Haryana,002,Bhiwani,36.4
1137,94,L3,13,Haryana,006,Gurugram,14.85
486,554,L3,13,Haryana,020,Sirsa,24.2
1035,356,L3,13,Haryana,012,Kurukshetra,16.58
976,204,L3,13,Haryana,008,Jhajjar,0
750,20,L3,13,Haryana,001,Ambala,11.3
1166,904,L2,13,Haryana,001,Ambala,30.9
580,420,L3,13,Haryana,014,Nuh,9.58
1232,1080,L3,29,Tamil Nadu,033,Kallakurichi,5.3
565,662,L2,13,Haryana,019,Rohtak,51.05
920,937,L2,13,Haryana,002,Bhiwani,0
1392,254,L3,13,Haryana,009,Jind,22.58
715,535,L2,13,Haryana,018,Rewari,38.48
904,11,L3,13,Haryana,001,Ambala,15.53
1207,1075,L3,29,Tamil Nadu,033,Kallakurichi,15.85
659,838,L2,13,Haryana,020,Sirsa,43.6
407,218,L2,13,Haryana,008,Jhajjar,52.68
879,53,L2,13,Haryana,002,Bhiwani,29.15
439,695,L3,13,Haryana,004,Faridabad,9.15
345,460,L3,13,Haryana,017,Panipat,21.25
590,434,L3,13,Haryana,014,Nuh,11.85
793,556,L3,13,Haryana,020,Sirsa,23.38
679,288,L2,13,Haryana,011,Karnal,54.8
1070,393,L2,13,Haryana,013,Mahendragarh,19.85
741,882,L3,13,Haryana,020,Sirsa,32.43
869,916,L2,13,Haryana,018,Rewari,53.23
1108,382,L1,13,Haryana,012,Kurukshetra,37.2
1274,1212,L3,13,Haryana,015,Palwal,0.43
881,53,L2,13,Haryana,002,Bhiwani,29.15
578,724,L3,13,Haryana,010,Kaithal,4.63
390,499,L2,13,Haryana,017,Panipat,27.1
457,506,L2,13,Haryana,017,Panipat,17.35
801,723,L3,13,Haryana,010,Kaithal,16.73
399,492,L2,13,Haryana,017,Panipat,0
997,945,L3,13,Haryana,002,Bhiwani,12.53
1088,781,L3,13,Haryana,005,Fatehabad,11.85
1224,1099,L3,29,Tamil Nadu,033,Kallakurichi,9.9
1305,1291,L3,32,West Bengal,194,Purba mednipur,14.35
1328,262,L3,13,Haryana,009,Jind,9.58
1170,1020,L2,13,Haryana,007,Hisar,0
465,544,L3,13,Haryana,020,Sirsa,5.45
488,472,L3,13,Haryana,017,Panipat,9.63
911,14,L3,13,Haryana,001,Ambala,9.43
498,560,L3,13,Haryana,020,Sirsa,12.63
394,353,L3,13,Haryana,012,Kurukshetra,27.9
1021,735,L2,13,Haryana,010,Kaithal,40.58
639,670,L2,13,Haryana,019,Rohtak,35.1
456,177,L3,13,Haryana,022,Yamuna Nagar,15.8
894,818,L2,13,Haryana,020,Sirsa,55.9
915,48,L2,13,Haryana,002,Bhiwani,27.68
806,54,L2,13,Haryana,002,Bhiwani,51.73
1171,880,L2,13,Haryana,001,Ambala,70.68
612,585,L2,13,Haryana,022,Yamuna Nagar,26.7
1099,904,L2,13,Haryana,001,Ambala,30.9
536,678,L2,13,Haryana,019,Rohtak,56.05
296,352,L3,13,Haryana,012,Kurukshetra,5.85
441,219,L2,13,Haryana,008,Jhajjar,38.43
1396,880,L2,13,Haryana,001,Ambala,47.2
623,844,NA,13,Haryana,006,Gurugram,NULL
601,612,L2,13,Haryana,022,Yamuna Nagar,53.28
291,286,L3,13,Haryana,011,Karnal,29.38
1214,1074,L3,29,Tamil Nadu,033,Kallakurichi,14.7
1253,1203,L3,13,Haryana,015,Palwal,11.35
1261,1042,L3,19,Maharashtra,154,Satara,17.15
525,700,L2,13,Haryana,004,Faridabad,33.6
1240,1082,L3,29,Tamil Nadu,033,Kallakurichi,6.7
982,985,L3,13,Haryana,002,Bhiwani,5.88
799,53,L2,13,Haryana,002,Bhiwani,44.33
704,621,L3,13,Haryana,018,Rewari,17.73
797,895,L2,13,Haryana,012,Kurukshetra,30.58
1153,747,L2,13,Haryana,007,Hisar,0
666,281,L3,13,Haryana,011,Karnal,33.63
1124,438,L3,13,Haryana,016,Panchkula,36.85
1296,1269,L3,32,West Bengal,194,Purba mednipur,11.28
1175,137,L3,13,Haryana,007,Hisar,6.9
1157,1009,L2,13,Haryana,007,Hisar,0
1156,1005,L2,13,Haryana,007,Hisar,0
1025,68,L3,13,Haryana,006,Gurugram,0
1374,1303,L3,32,West Bengal,194,Purba mednipur,35.88
556,605,L2,13,Haryana,022,Yamuna Nagar,37.73
678,875,L2,13,Haryana,010,Kaithal,39.65
1147,94,L3,13,Haryana,006,Gurugram,16.18
1367,880,L2,13,Haryana,001,Ambala,47.08
998,961,L2,13,Haryana,002,Bhiwani,0
378,486,L2,13,Haryana,017,Panipat,0
653,110,L2,13,Haryana,007,Hisar,52.53
756,534,L3,13,Haryana,018,Rewari,26.9
1283,1210,L3,13,Haryana,015,Palwal,10.83
853,56,L2,13,Haryana,002,Bhiwani,48.35
1162,1007,L2,13,Haryana,007,Hisar,0
925,979,L2,13,Haryana,001,Ambala,16.73
